-0.0638,0,0,0,28.0313,1.238,58.3964,5.48396,88.288,13.5298,31.0472,31.0452,456.548,7.616,127.886,6.19122,912.533,1128.67,0,5.17455
-0.0656,0,0,0,27.9431,1.2643,58.3035,5.53803,88.1824,13.6234,31.0494,31.0473,443.533,7.84,128.128,6.19331,912.774,1128.67,0,5.41348
-0.0677,0,0,0,27.8547,1.29165,58.2102,5.59425,88.0759,13.7206,31.0517,31.0495,431.243,8.064,128.379,6.19548,913.026,1128.67,0,5.61828
-0.0695,0,0,0,27.7663,1.32005,58.1168,5.65264,87.9687,13.8217,31.0541,31.0518,419.619,8.288,128.64,6.19774,913.287,1128.67,0,5.83673
-0.0715,0,0,0,27.6778,1.3495,58.023,5.71318,87.8607,13.9264,31.0567,31.0543,408.609,8.512,128.911,6.20008,913.557,1128.67,0,6.0347
-0.0734,0,0,0,27.5893,1.38,57.9291,5.77589,87.7521,14.0349,31.0595,31.0569,398.165,8.736,129.191,6.2025,913.838,1128.67,0,6.26681
-0.0753,0,0,0,27.5009,1.41156,57.8351,5.84076,87.6428,14.1472,31.0624,31.0596,388.245,8.96,129.481,6.205,914.128,1128.67,0,6.48526
-0.0773,0,0,0,27.4123,1.44417,57.7407,5.90779,87.5326,14.2631,31.0655,31.0625,378.811,9.184,129.781,6.2076,914.427,1128.67,0,6.70371
-0.0792,0,0,0,27.3237,1.47781,57.646,5.97696,87.4217,14.3828,31.0687,31.0656,369.829,9.408,130.09,6.21027,914.737,1128.67,0,6.92216
-0.0811,0,0,0,27.2351,1.51252,57.5513,6.0483,87.3102,14.5062,31.0722,31.0689,361.266,9.632,130.409,6.21303,915.056,1128.67,0,7.13378
-0.083,0,0,0,27.1465,1.54827,57.4562,6.12179,87.1979,14.6334,31.0758,31.0724,353.095,9.856,130.737,6.21586,915.384,1128.67,0,7.33176
-0.0849,-0.001,0,0,27.0579,1.58407,57.3611,6.19645,87.0849,14.7633,31.0752,31.0738,345.264,10.08,131.076,6.21879,915.722,1128.67,0,7.57751
-0.0868,-0.002,0,0,26.9692,1.61592,57.2656,6.26826,86.9712,14.8919,31.075,31.0744,337.765,10.304,131.423,6.22179,916.07,1128.67,0,7.77548
-0.0888,-0.003,0,0,26.8805,1.64383,57.17,6.33724,86.8567,15.0193,31.0752,31.0748,330.583,10.528,131.781,6.22488,916.428,1128.67,0,7.99393
